"Label (Grouping)","Census Tract 1601.02; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1601.02; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1601.02; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1601.02; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1601.02; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1601.02; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1601.03; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1601.03; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1601.03; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1601.03; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1601.03; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1601.03; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1602; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1602; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1602; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1602; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1602; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1602; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1603; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1603; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1603; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1603; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1603; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1603; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1604; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1604; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1604; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1604; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1604; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1604; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1605.01; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1605.01; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1605.01; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1605.01; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1605.01; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1605.01; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1605.02; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1605.02; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1605.02; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1605.02; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1605.02; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1605.02; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1606.01; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1606.01; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1606.01; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1606.01; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1606.01; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1606.01; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1606.02; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1606.02; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1606.02; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1606.02; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1606.02; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1606.02; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Chelsea city, Massachusetts!!Number!!Estimate","Chelsea city, Massachusetts!!Number!!Margin of Error","Chelsea city, Massachusetts!!Percent Distribution!!Estimate","Chelsea city, Massachusetts!!Percent Distribution!!Margin of Error","Chelsea city, Massachusetts!!Median income (dollars)!!Estimate","Chelsea city, Massachusetts!!Median income (dollars)!!Margin of Error"
"    5-person families","23","±27","2.9%","±3.5","-","**","203","±132","26.6%","±18.5","59,029","±1,743","126","±87","17.2%","±11.3","106,250","±52,873","0","±14","0.0%","±11.3","-","**","36","±47","6.0%","±7.5","-","**","257","±169","20.2%","±11.5","128,344","±49,771","118","±97","10.7%","±8.8","-","**","61","±80","7.7%","±9.6","-","**","102","±70","9.2%","±6.5","129,167","±123,165","926","±267","12.3%","±3.6","105,272","±40,067"
"    6-person families","27","±42","3.5%","±5.4","-","**","4","±15","0.5%","±1.9","-","**","21","±33","2.9%","±4.6","-","**","0","±14","0.0%","±11.3","-","**","0","±14","0.0%","±6.9","-","**","50","±67","3.9%","±5.2","146,838","±83,203","12","±21","1.1%","±1.9","-","**","0","±14","0.0%","±5.2","-","**","107","±111","9.6%","±10.0","-","**","221","±138","2.9%","±1.8","-","**"
"    7-or-more person families","47","±50","6.0%","±6.4","-","**","74","±58","9.7%","±7.5","-","**","77","±80","10.5%","±10.8","63,787","±37,086","0","±14","0.0%","±11.3","-","**","23","±34","3.8%","±5.6","-","**","49","±48","3.8%","±3.8","163,750","±22,371","21","±34","1.9%","±3.0","-","**","129","±122","16.3%","±14.1","182,271","±51,076","61","±49","5.5%","±4.7","-","**","481","±183","6.4%","±2.5","155,043","±98,866"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","128","±99","16.4%","±12.2","-","**","42","±47","5.5%","±6.0","-","**","42","±52","5.7%","±6.9","-","**","10","±16","2.8%","±4.3","-","**","15","±15","2.5%","±2.4","-","**","67","±43","5.3%","±3.5","-","**","93","±58","8.4%","±5.5","18,622","±3,509","40","±63","5.1%","±7.6","-","**","59","±57","5.3%","±5.0","2,500-","***","496","±167","6.6%","±2.2","14,444","±2,204"
"    1 earner","212","±100","27.1%","±11.8","36,300","±16,477","195","±122","25.5%","±14.5","37,281","±23,744","233","±101","31.8%","±12.8","26,860","±19,172","76","±54","21.5%","±14.2","143,000","±30,874","215","±130","36.0%","±17.0","59,276","±32,364","394","±167","30.9%","±13.6","47,474","±4,341","410","±159","37.2%","±13.4","27,609","±4,571","123","±67","15.5%","±9.1","-","**","340","±136","30.6%","±11.5","51,250","±40,770","2,198","±350","29.3%","±4.3","43,272","±3,134"
"    2 earners","344","±154","44.0%","±14.3","96,019","±27,860","410","±149","53.7%","±18.0","81,287","±31,890","270","±129","36.8%","±14.0","57,372","±34,835","267","±93","75.6%","±14.2","180,114","±85,988","232","±91","38.8%","±16.1","-","**","552","±209","43.3%","±14.2","72,292","±20,080","387","±171","35.1%","±13.6","76,549","±20,687","396","±109","50.1%","±13.6","135,147","±61,753","344","±158","31.0%","±11.7","90,263","±43,381","3,202","±384","42.7%","±4.3","87,804","±16,240"
"    3 or more earners","97","±54","12.4%","±6.9","140,057","±74,719","117","±99","15.3%","±11.5","-","**","188","±97","25.6%","±13.2","113,864","±30,740","0","±14","0.0%","±11.3","-","**","136","±63","22.7%","±10.0","102,708","±53,575","261","±155","20.5%","±11.1","147,390","±80,125","212","±90","19.2%","±7.8","134,537","±23,181","232","±131","29.3%","±13.4","181,479","±40,190","367","±141","33.1%","±13.3","131,164","±46,237","1,610","±258","21.4%","±3.6","142,546","±18,125"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","369","±152","369","±152","-","**","466","±176","466","±176","-","**","463","±143","463","±143","61,250","±38,185","998","±175","998","±175","40,000","±27,908","957","±184","957","±184","54,281","±36,431","697","±207","697","±207","-","**","750","±219","750","±219","52,273","±28,414","811","±154","811","±154","59,245","±24,235","521","±129","521","±129","46,688","±22,068","6,032","±601","6,032","±601","49,022","±11,110"
"        Female householder","135","±80","36.6%","±19.3","-","**","261","±166","56.0%","±24.2","-","**","160","±80","34.6%","±16.0","-","**","560","±114","56.1%","±11.5","41,071","±33,807","516","±154","53.9%","±12.4","-","**","304","±123","43.6%","±15.9","51,250","±42,396","440","±169","58.7%","±13.2","33,066","±15,451","357","±146","44.0%","±14.4","65,568","±57,823","283","±103","54.3%","±15.6","62,807","±17,768","3,016","±441","50.0%","±5.0","39,868","±13,886"
"            Living alone","108","±69","29.3%","±17.1","-","**","181","±124","38.8%","±25.6","-","**","141","±75","30.5%","±14.9","-","**","469","±106","47.0%","±10.2","26,406","±21,873","364","±156","38.0%","±13.3","-","**","253","±117","36.3%","±15.8","-","**","417","±167","55.6%","±13.6","32,854","±14,040","251","±130","30.9%","±14.6","-","**","265","±101","50.9%","±15.7","54,702","±19,353","2,449","±372","40.6%","±4.7","32,718","±6,958"
"            Not living alone","27","±36","7.3%","±9.9","-","**","80","±117","17.2%","±21.9","-","**","19","±24","4.1%","±5.3","-","**","91","±46","9.1%","±4.8","102,083","±85,535","152","±61","15.9%","±6.9","173,409","±110,009","51","±48","7.3%","±6.8","-","**","23","±18","3.1%","±2.5","129,107","±114,189","106","±90","13.1%","±10.4","-","**","18","±19","3.5%","±3.6","-","**","567","±190","9.4%","±2.8","86,850","±36,167"
"        Male householder","234","±131","63.4%","±19.3","-","**","205","±116","44.0%","±24.2","97,411","±45,092","303","±131","65.4%","±16.0","78,125","±40,350","438","±160","43.9%","±11.5","-","**","441","±143","46.1%","±12.4","54,511","±49,253","393","±184","56.4%","±15.9","-","**","310","±125","41.3%","±13.2","71,535","±19,619","454","±130","56.0%","±14.4","59,115","±25,355","238","±105","45.7%","±15.6","30,652","±26,111","3,016","±406","50.0%","±5.0","57,222","±10,468"
"            Living alone","188","±119","50.9%","±20.9","-","**","156","±90","33.5%","±21.4","83,804","±43,549","156","±103","33.7%","±19.0","79,083","±53,134","320","±153","32.1%","±11.9","16,914","±13,639","323","±130","33.8%","±12.0","-","**","329","±178","47.2%","±15.6","-","**","254","±117","33.9%","±11.8","71,083","±34,532","255","±102","31.4%","±12.0","41,442","±31,671","175","±89","33.6%","±14.9","-","**","2,156","±377","35.7%","±4.8","33,525","±14,738"
"            Not living alone","46","±52","12.5%","±13.6","-","**","49","±65","10.5%","±13.2","-","**","147","±91","31.7%","±16.4","68,563","±57,796","118","±57","11.8%","±5.9","121,833","±28,220","118","±60","12.3%","±6.1","118,365","±39,697","64","±59","9.2%","±9.0","-","**","56","±50","7.5%","±7.1","-","**","199","±93","24.5%","±11.0","107,557","±15,646","63","±66","12.1%","±11.9","-","**","860","±203","14.3%","±3.4","107,037","±8,416"
