Geography,Geographic Area Name,total_pop,asian_alone,asian_indian_alone,asian_chinese_alone,asian_filipino_alone,asian_japanese_alone,asian_korean_alone,asian_vietnamese_alone,asian_other_alone,other_race_alone,two_more_races,hispanic_total_any_pop,hispanic_mexican,hispanic_puerto_rico,hispanic_cuban,hispanic_other_any,non_hispanic_total,white_alone,black_alone,american_indian_alone,native_hawaiian_alone,cvap_total,asian_alone_percent,asian_indian_alone_percent,asian_chinese_alone_percent,asian_filipino_alone_percent,asian_japanese_alone_percent,asian_korean_alone_percent,asian_vietnamese_alone_percent,asian_other_alone_percent,other_race_alone_percent,two_more_races_percent,hispanic_total_any_pop_percent,hispanic_mexican_percent,hispanic_puerto_rico_percent,hispanic_cuban_percent,hispanic_other_any_percent,non_hispanic_total_percent,white_alone_percent,black_alone_percent,american_indian_alone_percent,native_hawaiian_alone_percent
1400000US25025160101,"Census Tract 1601.01, Suffolk County, Massachusetts",9286,241,60,17,26,0,0,0,138,1157,3418,7455,160,1302,41,5952,1831,1094,301,26,0,3053,2.6,0.6,0.2,0.3,0,0,0,1.5,12.5,36.8,80.3,1.7,14,0.4,64.1,19.7,11.8,3.2,0.3,0
1400000US25025160200,"Census Tract 1602, Suffolk County, Massachusetts",4357,162,0,17,8,0,0,3,134,301,2382,3816,169,485,33,3129,541,281,56,0,0,1316,3.7,0,0.4,0.2,0,0,0.1,3.1,6.9,54.7,87.6,3.9,11.1,0.8,71.8,12.4,6.4,1.3,0,0
1400000US25025160300,"Census Tract 1603, Suffolk County, Massachusetts",2476,98,19,13,9,0,7,50,0,142,462,722,29,213,7,473,1754,1265,228,0,0,1859,4,0.8,0.5,0.4,0,0.3,2,0,5.7,18.7,29.2,1.2,8.6,0.3,19.1,70.8,51.1,9.2,0,0
1400000US25025160400,"Census Tract 1604, Suffolk County, Massachusetts",3054,41,0,0,0,6,0,35,0,322,841,2070,56,451,10,1553,984,653,224,28,0,1422,1.3,0,0,0,0.2,0,1.1,0,10.5,27.5,67.8,1.8,14.8,0.3,50.9,32.2,21.4,7.3,0.9,0
1400000US25025160501,"Census Tract 1605.01, Suffolk County, Massachusetts",5145,206,0,34,36,0,0,24,112,308,1937,3687,104,556,0,3027,1458,903,247,0,0,2056,4,0,0.7,0.7,0,0,0.5,2.2,6,37.6,71.7,2,10.8,0,58.8,28.3,17.6,4.8,0,0
1400000US25025160502,"Census Tract 1605.02, Suffolk County, Massachusetts",4832,90,9,1,62,0,1,17,0,359,997,3222,125,500,53,2544,1610,1264,184,0,0,2214,1.9,0.2,0,1.3,0,0,0.4,0,7.4,20.6,66.7,2.6,10.3,1.1,52.6,33.3,26.2,3.8,0,0
1400000US25025160601,"Census Tract 1606.01, Suffolk County, Massachusetts",4833,271,176,19,0,0,68,8,0,269,960,2360,30,684,14,1632,2473,1547,436,0,0,2650,5.6,3.6,0.4,0,0,1.4,0.2,0,5.6,19.9,48.8,0.6,14.2,0.3,33.8,51.2,32,9,0,0
1400000US25025160602,"Census Tract 1606.02, Suffolk County, Massachusetts",5289,301,0,40,0,0,0,229,32,545,1116,2533,117,245,54,2117,2756,1613,625,0,0,2726,5.7,0,0.8,0,0,0,4.3,0.6,10.3,21.1,47.9,2.2,4.6,1,40,52.1,30.5,11.8,0,0
