Geography,Geographic Area Name,total_pop,asian_alone,asian_indian_alone,asian_chinese_alone,asian_filipino_alone,asian_japanese_alone,asian_korean_alone,asian_vietnamese_alone,asian_other_alone,other_race_alone,two_more_races,hispanic_total_any_pop,hispanic_mexican,hispanic_puerto_rico,hispanic_cuban,hispanic_other_any,non_hispanic_total,white_alone,black_alone,american_indian_alone,native_hawaiian_alone,cvap_total,asian_alone_percent,asian_indian_alone_percent,asian_chinese_alone_percent,asian_filipino_alone_percent,asian_japanese_alone_percent,asian_korean_alone_percent,asian_vietnamese_alone_percent,asian_other_alone_percent,other_race_alone_percent,two_more_races_percent,hispanic_total_any_pop_percent,hispanic_mexican_percent,hispanic_puerto_rico_percent,hispanic_cuban_percent,hispanic_other_any_percent,non_hispanic_total_percent,white_alone_percent,black_alone_percent,american_indian_alone_percent,native_hawaiian_alone_percent
1400000US25025160102,Census Tract 1601.02; Suffolk County; Massachusetts,3543,67,0,0,0,30,0,0,37,293,1860,2869,28,456,0,2385,674,307,259,0,0,1531,1.9,0,0,0,0.8,0,0,1,8.3,52.5,81,0.8,12.9,0,67.3,19,8.7,7.3,0,0
1400000US25025160103,Census Tract 1601.03; Suffolk County; Massachusetts,4845,14,0,14,0,0,0,0,0,490,3164,3791,123,79,16,3573,1054,631,409,0,0,1550,0.3,0,0.3,0,0,0,0,0,10.1,65.3,78.2,2.5,1.6,0.3,73.7,21.8,13,8.4,0,0
1400000US25025160200,Census Tract 1602; Suffolk County; Massachusetts,4545,17,0,4,0,0,13,0,0,201,3022,4049,81,194,0,3774,496,373,90,0,0,1286,0.4,0,0.1,0,0,0.3,0,0,4.4,66.5,89.1,1.8,4.3,0,83,10.9,8.2,2,0,0
1400000US25025160300,Census Tract 1603; Suffolk County; Massachusetts,2083,39,13,19,0,0,0,0,7,134,367,656,10,219,0,427,1427,1308,64,0,0,1728,1.9,0.6,0.9,0,0,0,0,0.3,6.4,17.6,31.5,0.5,10.5,0,20.5,68.5,62.8,3.1,0,0
1400000US25025160400,Census Tract 1604; Suffolk County; Massachusetts,3281,119,62,46,5,0,0,0,6,169,1392,1771,46,278,0,1447,1510,923,302,0,0,1466,3.6,1.9,1.4,0.2,0,0,0,0.2,5.2,42.4,54,1.4,8.5,0,44.1,46,28.1,9.2,0,0
1400000US25025160501,Census Tract 1605.01; Suffolk County; Massachusetts,6283,258,57,71,0,0,0,130,0,1354,2117,4807,0,1123,0,3684,1476,894,202,0,0,3824,4.1,0.9,1.1,0,0,0,2.1,0,21.6,33.7,76.5,0,17.9,0,58.6,23.5,14.2,3.2,0,0
1400000US25025160502,Census Tract 1605.02; Suffolk County; Massachusetts,5464,95,24,27,0,0,0,8,36,865,2564,3348,87,414,43,2804,2116,997,313,0,0,2607,1.7,0.4,0.5,0,0,0,0.1,0.7,15.8,46.9,61.3,1.6,7.6,0.8,51.3,38.7,18.2,5.7,0,0
1400000US25025160601,Census Tract 1606.01; Suffolk County; Massachusetts,4709,55,0,19,12,0,24,0,0,885,1663,2820,8,554,29,2229,1889,1050,381,0,0,2751,1.2,0,0.4,0.3,0,0.5,0,0,18.8,35.3,59.9,0.2,11.8,0.6,47.3,40.1,22.3,8.1,0,0
1400000US25025160602,Census Tract 1606.02; Suffolk County; Massachusetts,5137,475,45,46,18,0,0,366,0,584,1398,2781,13,564,1,2203,2356,1486,209,0,0,2894,9.2,0.9,0.9,0.4,0,0,7.1,0,11.4,27.2,54.1,0.3,11,0,42.9,45.9,28.9,4.1,0,0
