geoname,,,lntitle,geoid,CIT_EST,CVAP_EST
Census Tract 1604, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,1400000US25025160400,0,0
Census Tract 1604, Suffolk County, Massachusetts,White Alone,1400000US25025160400,920,790
Census Tract 1604, Suffolk County, Massachusetts,American Indian or Alaska Native and White,1400000US25025160400,35,35
Census Tract 1604, Suffolk County, Massachusetts,Asian and White,1400000US25025160400,25,25
Census Tract 1604, Suffolk County, Massachusetts,Black or African American and White,1400000US25025160400,35,35
Census Tract 1604, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,1400000US25025160400,0,0
Census Tract 1604, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,1400000US25025160400,0,0
Census Tract 1604, Suffolk County, Massachusetts,Hispanic or Latino,1400000US25025160400,670,450
Census Tract 1605.01, Suffolk County, Massachusetts,Total,1400000US25025160501,4890,3825
Census Tract 1605.01, Suffolk County, Massachusetts,Not Hispanic or Latino,1400000US25025160501,1345,1205
Census Tract 1605.01, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,1400000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Asian Alone,1400000US25025160501,220,220
Census Tract 1605.01, Suffolk County, Massachusetts,Black or African American Alone,1400000US25025160501,115,105
Census Tract 1605.01, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,1400000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,White Alone,1400000US25025160501,890,760
Census Tract 1605.01, Suffolk County, Massachusetts,American Indian or Alaska Native and White,1400000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Asian and White,1400000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Black or African American and White,1400000US25025160501,120,120
Census Tract 1605.01, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,1400000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,1400000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Hispanic or Latino,1400000US25025160501,3545,2620
Census Tract 1605.02, Suffolk County, Massachusetts,Total,1400000US25025160502,3980,2605
Census Tract 1605.02, Suffolk County, Massachusetts,Not Hispanic or Latino,1400000US25025160502,1830,1410
Census Tract 1605.02, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,1400000US25025160502,0,0
Census Tract 1605.02, Suffolk County, Massachusetts,Asian Alone,1400000US25025160502,55,55
Census Tract 1605.02, Suffolk County, Massachusetts,Black or African American Alone,1400000US25025160502,285,250
Census Tract 1605.02, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,1400000US25025160502,0,0
Census Tract 1605.02, Suffolk County, Massachusetts,White Alone,1400000US25025160502,965,840
Census Tract 1605.02, Suffolk County, Massachusetts,American Indian or Alaska Native and White,1400000US25025160502,25,25
Census Tract 1605.02, Suffolk County, Massachusetts,Asian and White,1400000US25025160502,25,10
Census Tract 1605.02, Suffolk County, Massachusetts,Black or African American and White,1400000US25025160502,465,225
Census Tract 1605.02, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,1400000US25025160502,0,0
Census Tract 1605.02, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,1400000US25025160502,10,0
Census Tract 1605.02, Suffolk County, Massachusetts,Hispanic or Latino,1400000US25025160502,2145,1200
Census Tract 1606.01, Suffolk County, Massachusetts,Total,1400000US25025160601,3180,2750
Census Tract 1606.01, Suffolk County, Massachusetts,Not Hispanic or Latino,1400000US25025160601,1700,1580
Census Tract 1606.01, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,1400000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Asian Alone,1400000US25025160601,45,45
Census Tract 1606.01, Suffolk County, Massachusetts,Black or African American Alone,1400000US25025160601,350,300
Census Tract 1606.01, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,1400000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,White Alone,1400000US25025160601,1160,1135
Census Tract 1606.01, Suffolk County, Massachusetts,American Indian or Alaska Native and White,1400000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Asian and White,1400000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Black or African American and White,1400000US25025160601,150,105
Census Tract 1606.01, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,1400000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,1400000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Hispanic or Latino,1400000US25025160601,1480,1170
Census Tract 1606.02, Suffolk County, Massachusetts,Total,1400000US25025160602,3935,2895
Census Tract 1606.02, Suffolk County, Massachusetts,Not Hispanic or Latino,1400000US25025160602,2100,1750
Census Tract 1606.02, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,1400000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,Asian Alone,1400000US25025160602,450,325
Census Tract 1606.02, Suffolk County, Massachusetts,Black or African American Alone,1400000US25025160602,155,155
Census Tract 1606.02, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,1400000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,White Alone,1400000US25025160602,1395,1165
Census Tract 1606.02, Suffolk County, Massachusetts,American Indian or Alaska Native and White,1400000US25025160602,15,15
Census Tract 1606.02, Suffolk County, Massachusetts,Asian and White,1400000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,Black or African American and White,1400000US25025160602,85,85
Census Tract 1606.02, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,1400000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,1400000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,Hispanic or Latino,1400000US25025160602,1835,1145
