GEONAME,,,lntitle,geoid,CIT_EST,CVAP_EST
Census Tract 1605.01, Suffolk County, Massachusetts,White Alone,14000US25025160501,870,765
Census Tract 1605.01, Suffolk County, Massachusetts,American Indian or Alaska Native and White,14000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Asian and White,14000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Black or African American and White,14000US25025160501,80,25
Census Tract 1605.01, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,14000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,14000US25025160501,0,0
Census Tract 1605.01, Suffolk County, Massachusetts,Hispanic or Latino,14000US25025160501,1770,975
Census Tract 1605.02, Suffolk County, Massachusetts,Total,14000US25025160502,3590,2215
Census Tract 1605.02, Suffolk County, Massachusetts,Not Hispanic or Latino,14000US25025160502,1515,1200
Census Tract 1605.02, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,14000US25025160502,0,0
Census Tract 1605.02, Suffolk County, Massachusetts,Asian Alone,14000US25025160502,75,75
Census Tract 1605.02, Suffolk County, Massachusetts,Black or African American Alone,14000US25025160502,185,150
Census Tract 1605.02, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,14000US25025160502,0,0
Census Tract 1605.02, Suffolk County, Massachusetts,White Alone,14000US25025160502,1200,980
Census Tract 1605.02, Suffolk County, Massachusetts,American Indian or Alaska Native and White,14000US25025160502,0,0
Census Tract 1605.02, Suffolk County, Massachusetts,Asian and White,14000US25025160502,0,0
Census Tract 1605.02, Suffolk County, Massachusetts,Black or African American and White,14000US25025160502,50,0
Census Tract 1605.02, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,14000US25025160502,0,0
Census Tract 1605.02, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,14000US25025160502,10,0
Census Tract 1605.02, Suffolk County, Massachusetts,Hispanic or Latino,14000US25025160502,2075,1015
Census Tract 1606.01, Suffolk County, Massachusetts,Total,14000US25025160601,3665,2650
Census Tract 1606.01, Suffolk County, Massachusetts,Not Hispanic or Latino,14000US25025160601,2060,1755
Census Tract 1606.01, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,14000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Asian Alone,14000US25025160601,165,115
Census Tract 1606.01, Suffolk County, Massachusetts,Black or African American Alone,14000US25025160601,445,225
Census Tract 1606.01, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,14000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,White Alone,14000US25025160601,1450,1420
Census Tract 1606.01, Suffolk County, Massachusetts,American Indian or Alaska Native and White,14000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Asian and White,14000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Black or African American and White,14000US25025160601,4,4
Census Tract 1606.01, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,14000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,14000US25025160601,0,0
Census Tract 1606.01, Suffolk County, Massachusetts,Hispanic or Latino,14000US25025160601,1605,895
Census Tract 1606.02, Suffolk County, Massachusetts,Total,14000US25025160602,3950,2725
Census Tract 1606.02, Suffolk County, Massachusetts,Not Hispanic or Latino,14000US25025160602,2275,1880
Census Tract 1606.02, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,14000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,Asian Alone,14000US25025160602,165,115
Census Tract 1606.02, Suffolk County, Massachusetts,Black or African American Alone,14000US25025160602,570,415
Census Tract 1606.02, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,14000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,White Alone,14000US25025160602,1375,1245
Census Tract 1606.02, Suffolk County, Massachusetts,American Indian or Alaska Native and White,14000US25025160602,4,4
Census Tract 1606.02, Suffolk County, Massachusetts,Asian and White,14000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,Black or African American and White,14000US25025160602,125,105
Census Tract 1606.02, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,14000US25025160602,0,0
Census Tract 1606.02, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,14000US25025160602,30,0
Census Tract 1606.02, Suffolk County, Massachusetts,Hispanic or Latino,14000US25025160602,1675,845
